date,fullVisitorId,channel,campaign,source,medium,device_category,country,totals_hits,totals_pageviews,totals_timeOnSite,revenue_usd,lead,customer
2018-04-01,sample_000018,Organic Search,brand,organic_search,organic,tablet,Germany,18,12,286,0.0,1,0
2018-02-21,sample_000019,Direct,brand,direct,referral,tablet,United States,10,2,33,0.0,1,0
2018-01-21,sample_000020,Organic Search,(not set),organic_search,organic,desktop,Australia,1,1,9,0.0,0,0
2017-08-17,sample_000021,Organic Search,partner launch,organic_search,organic,mobile,India,13,10,622,0.0,1,0
2017-12-03,sample_000022,Paid Search,content syndication,paid_search,paid,mobile,Australia,2,1,11,0.0,0,0
2018-02-27,sample_000023,Organic Search,summer remarketing,organic_search,organic,desktop,Australia,1,1,30,0.0,0,0
2017-09-25,sample_000024,Referral,brand,referral,referral,desktop,Canada,11,9,355,0.0,1,0
2017-09-08,sample_000025,Referral,(not set),referral,referral,desktop,Germany,1,1,46,0.0,0,0
2017-11-30,sample_000026,Display,content syndication,display,referral,desktop,India,7,1,8,0.0,1,0
2018-02-16,sample_000027,Organic Search,partner launch,organic_search,organic,desktop,Australia,6,2,32,0.0,1,0
2018-04-07,sample_000028,Direct,summer remarketing,direct,referral,desktop,Australia,9,1,8,0.0,1,0
2018-05-27,sample_000029,Organic Search,brand,organic_search,organic,desktop,United States,1,1,37,0.0,0,0
2017-09-04,sample_000030,Organic Search,(not set),organic_search,organic,mobile,Germany,4,1,42,0.0,0,0
2018-03-03,sample_000031,Paid Search,summer remarketing,paid_search,paid,mobile,Australia,6,2,18,0.0,1,0
2018-02-19,sample_000032,Organic Search,(not set),organic_search,organic,desktop,United States,7,2,53,0.0,1,0
2018-05-16,sample_000033,Paid Search,brand,paid_search,paid,tablet,United States,9,7,427,0.0,1,0
2017-10-20,sample_000034,Organic Search,partner launch,organic_search,organic,desktop,Australia,10,2,5,0.0,1,0
2018-07-06,sample_000035,Organic Search,partner launch,organic_search,organic,desktop,Australia,3,2,11,0.0,0,0
2017-12-23,sample_000036,Organic Search,summer remarketing,organic_search,organic,mobile,Canada,5,1,37,0.0,1,0
2017-08-27,sample_000037,Social,brand,social,referral,desktop,United Kingdom,2,2,5,0.0,0,0
2017-12-13,sample_000038,Paid Search,(not set),paid_search,paid,desktop,United States,10,2,5,0.0,1,0
2018-07-20,sample_000039,Social,brand,social,referral,mobile,Canada,10,2,14,0.0,1,0
2018-02-03,sample_000040,Organic Search,brand,organic_search,organic,mobile,Australia,6,1,18,0.0,1,0
2018-01-29,sample_000041,Direct,brand,direct,referral,mobile,India,4,2,20,0.0,0,0
2017-08-13,sample_000042,Social,(not set),social,referral,desktop,India,5,2,22,0.0,1,0
2017-08-20,sample_000043,Organic Search,brand,organic_search,organic,mobile,India,7,2,24,0.0,1,0
2017-11-07,sample_000044,Organic Search,partner launch,organic_search,organic,desktop,Australia,5,1,27,0.0,1,0
2018-05-02,sample_000045,Organic Search,(not set),organic_search,organic,desktop,United Kingdom,9,7,664,0.0,1,0
2018-03-11,sample_000046,Organic Search,partner launch,organic_search,organic,desktop,Canada,10,2,12,0.0,1,0
2017-08-23,sample_000047,Organic Search,(not set),organic_search,organic,mobile,Canada,14,11,442,0.0,1,0
2018-01-17,sample_000048,Social,content syndication,social,referral,mobile,United Kingdom,5,1,37,0.0,1,0
2018-07-23,sample_000049,Organic Search,summer remarketing,organic_search,organic,desktop,Germany,11,9,700,0.0,1,0
2017-08-01,sample_000050,Organic Search,brand,organic_search,organic,desktop,Canada,9,2,33,0.0,1,0
2017-10-26,sample_000051,Paid Search,summer remarketing,paid_search,paid,mobile,India,3,2,53,0.0,0,0
2017-11-10,sample_000052,Organic Search,partner launch,organic_search,organic,desktop,Canada,13,12,536,0.0,1,0
2018-07-23,sample_000053,Organic Search,content syndication,organic_search,organic,desktop,United States,1,1,53,0.0,0,0
2018-07-23,sample_000054,Organic Search,partner launch,organic_search,organic,desktop,Canada,11,4,206,0.0,1,0
2018-06-01,sample_000055,Display,content syndication,display,referral,desktop,Germany,10,2,32,0.0,1,0
2018-04-01,sample_000056,Social,brand,social,referral,desktop,Australia,10,2,36,0.0,1,0
2017-09-09,sample_000057,Organic Search,brand,organic_search,organic,mobile,United States,7,2,39,0.0,1,0
2018-02-13,sample_000058,Organic Search,partner launch,organic_search,organic,mobile,United Kingdom,7,1,31,0.0,1,0
2017-09-01,sample_000059,Paid Search,summer remarketing,paid_search,paid,desktop,United States,7,1,35,0.0,1,0
2018-02-16,sample_000060,Organic Search,partner launch,organic_search,organic,mobile,Australia,10,2,52,0.0,1,0
2017-11-21,sample_000061,Referral,content syndication,referral,referral,desktop,United Kingdom,2,2,29,0.0,0,0
2018-03-28,sample_000062,Direct,(not set),direct,referral,mobile,Germany,7,1,42,0.0,1,0
2018-03-08,sample_000063,Organic Search,brand,organic_search,organic,desktop,United Kingdom,5,1,29,0.0,1,0
2018-01-20,sample_000064,Paid Search,(not set),paid_search,paid,mobile,Canada,6,2,10,0.0,1,0
2017-08-27,sample_000065,Direct,brand,direct,referral,tablet,United States,1,1,53,0.0,0,0
2017-08-11,sample_000066,Organic Search,content syndication,organic_search,organic,mobile,India,3,2,41,0.0,0,0
2018-02-05,sample_000067,Direct,partner launch,direct,referral,desktop,United States,3,1,24,0.0,0,0
2018-01-07,sample_000068,Organic Search,(not set),organic_search,organic,mobile,India,8,2,50,0.0,1,0
2018-06-18,sample_000069,Paid Search,(not set),paid_search,paid,desktop,Germany,3,2,55,0.0,0,0
2018-03-08,sample_000070,Organic Search,content syndication,organic_search,organic,mobile,United States,9,3,571,0.0,1,0
2018-06-22,sample_000071,Display,partner launch,display,referral,mobile,Australia,7,1,16,0.0,1,0
2017-12-17,sample_000072,Display,partner launch,display,referral,mobile,Australia,9,2,32,0.0,1,0
2017-12-04,sample_000073,Organic Search,content syndication,organic_search,organic,mobile,Germany,13,6,653,0.0,1,0
2018-04-11,sample_000074,Organic Search,summer remarketing,organic_search,organic,mobile,United Kingdom,6,1,21,0.0,1,0
2018-07-26,sample_000075,Social,content syndication,social,referral,mobile,Australia,2,1,20,0.0,0,0
2017-12-02,sample_000076,Paid Search,(not set),paid_search,paid,mobile,United States,9,2,55,0.0,1,0
2018-02-24,sample_000077,Organic Search,summer remarketing,organic_search,organic,mobile,Germany,9,2,40,0.0,1,0
2018-05-09,sample_000078,Paid Search,(not set),paid_search,paid,desktop,India,6,2,21,0.0,1,0
2018-01-09,sample_000079,Direct,content syndication,direct,referral,desktop,Australia,4,1,18,0.0,0,0
2018-05-29,sample_000080,Organic Search,brand,organic_search,organic,tablet,United Kingdom,3,2,17,0.0,0,0
2018-01-02,sample_000081,Organic Search,summer remarketing,organic_search,organic,desktop,Germany,2,2,8,0.0,0,0
2017-10-04,sample_000082,Direct,content syndication,direct,referral,mobile,United Kingdom,1,1,41,0.0,0,0
2018-01-22,sample_000083,Paid Search,content syndication,paid_search,paid,desktop,Canada,11,10,136,0.0,1,0
2018-06-19,sample_000084,Organic Search,partner launch,organic_search,organic,mobile,United States,8,7,324,0.0,1,0
2018-06-07,sample_000085,Direct,partner launch,direct,referral,mobile,United Kingdom,9,2,33,0.0,1,0
2018-01-04,sample_000086,Display,summer remarketing,display,referral,mobile,India,7,4,710,0.0,1,0
2017-10-20,sample_000087,Direct,partner launch,direct,referral,desktop,Canada,1,1,31,0.0,0,0
2017-08-17,sample_000088,Paid Search,summer remarketing,paid_search,paid,desktop,India,3,2,48,0.0,0,0
2018-06-17,sample_000089,Referral,brand,referral,referral,mobile,Germany,7,1,12,0.0,1,0
2017-12-15,sample_000090,Direct,content syndication,direct,referral,mobile,United States,11,7,519,0.0,1,0
2018-07-25,sample_000091,Direct,(not set),direct,referral,desktop,Germany,9,2,10,0.0,1,0
2018-01-13,sample_000092,Social,summer remarketing,social,referral,mobile,Australia,12,12,853,0.0,1,0
2017-10-29,sample_000093,Paid Search,content syndication,paid_search,paid,desktop,Canada,4,2,42,0.0,0,0
2018-03-29,sample_000094,Display,content syndication,display,referral,desktop,Canada,3,1,26,0.0,0,0
2018-02-22,sample_000095,Organic Search,summer remarketing,organic_search,organic,mobile,United Kingdom,3,2,25,0.0,0,0
2018-02-23,sample_000096,Organic Search,(not set),organic_search,organic,mobile,Canada,9,1,34,0.0,1,0
2018-02-02,sample_000097,Organic Search,partner launch,organic_search,organic,mobile,United Kingdom,2,2,18,0.0,0,0
2017-12-26,sample_000098,Organic Search,brand,organic_search,organic,desktop,Germany,1,1,45,0.0,0,0
2018-01-07,sample_000099,Direct,(not set),direct,referral,desktop,Canada,4,1,12,0.0,0,0
2017-10-18,sample_000100,Direct,brand,direct,referral,desktop,Canada,8,2,35,0.0,1,0
2017-10-14,sample_000101,Paid Search,summer remarketing,paid_search,paid,desktop,Canada,2,1,22,0.0,0,0
2018-04-17,sample_000102,Social,partner launch,social,referral,desktop,Canada,19,12,222,0.0,1,0
2018-01-18,sample_000103,Paid Search,brand,paid_search,paid,desktop,Australia,7,2,17,0.0,1,0
2017-11-28,sample_000104,Paid Search,content syndication,paid_search,paid,mobile,Canada,9,2,50,0.0,1,0
2018-06-30,sample_000105,Display,summer remarketing,display,referral,tablet,Germany,3,1,37,0.0,0,0
2018-03-14,sample_000106,Referral,brand,referral,referral,desktop,Australia,3,1,31,0.0,0,0
2017-12-14,sample_000107,Organic Search,content syndication,organic_search,organic,desktop,Germany,6,1,48,0.0,1,0
2018-06-17,sample_000108,Social,summer remarketing,social,referral,mobile,Australia,2,1,20,0.0,0,0
2017-09-16,sample_000109,Display,summer remarketing,display,referral,desktop,Australia,8,1,15,0.0,1,0
2017-08-24,sample_000110,Social,content syndication,social,referral,desktop,Germany,11,9,320,0.0,1,0
2017-11-01,sample_000111,Paid Search,brand,paid_search,paid,desktop,Germany,15,12,579,0.0,1,0
2018-06-23,sample_000112,Organic Search,partner launch,organic_search,organic,desktop,Australia,8,1,23,0.0,1,0
2018-03-15,sample_000113,Organic Search,content syndication,organic_search,organic,tablet,United Kingdom,8,2,49,0.0,1,0
2017-11-10,sample_000114,Referral,summer remarketing,referral,referral,tablet,Germany,4,1,29,0.0,0,0
2018-07-25,sample_000115,Paid Search,(not set),paid_search,paid,desktop,Germany,6,2,5,0.0,1,0
2018-04-12,sample_000116,Social,brand,social,referral,mobile,Australia,6,1,19,0.0,1,0
2018-07-14,sample_000117,Paid Search,(not set),paid_search,paid,mobile,Australia,2,1,45,0.0,0,0
2018-03-14,sample_000118,Organic Search,content syndication,organic_search,organic,desktop,United Kingdom,2,1,23,0.0,0,0
2017-10-07,sample_000119,Organic Search,brand,organic_search,organic,mobile,United Kingdom,10,2,37,0.0,1,0
2018-04-04,sample_000120,Organic Search,brand,organic_search,organic,tablet,United States,3,2,34,0.0,0,0
2017-11-24,sample_000121,Direct,content syndication,direct,referral,mobile,United States,10,2,28,0.0,1,0
2018-05-02,sample_000122,Organic Search,(not set),organic_search,organic,desktop,United Kingdom,8,2,45,0.0,1,0
2018-03-30,sample_000123,Direct,content syndication,direct,referral,desktop,United States,5,2,46,0.0,1,0
2018-01-02,sample_000124,Social,(not set),social,referral,mobile,Canada,1,1,24,0.0,0,0
2018-05-03,sample_000125,Organic Search,(not set),organic_search,organic,desktop,Australia,4,2,31,0.0,0,0
2018-06-12,sample_000126,Referral,content syndication,referral,referral,desktop,Canada,6,1,18,0.0,1,0
2018-02-02,sample_000127,Social,brand,social,referral,desktop,United Kingdom,2,2,30,0.0,0,0
2018-03-21,sample_000128,Display,brand,display,referral,desktop,United Kingdom,1,1,55,0.0,0,0
2018-05-17,sample_000129,Display,brand,display,referral,desktop,United Kingdom,4,1,19,0.0,0,0
2018-06-02,sample_000130,Referral,brand,referral,referral,desktop,United Kingdom,3,1,39,0.0,0,0
2017-08-14,sample_000131,Organic Search,summer remarketing,organic_search,organic,desktop,India,6,1,6,0.0,1,0
2018-03-04,sample_000132,Organic Search,partner launch,organic_search,organic,desktop,United Kingdom,9,2,54,0.0,1,0
2018-03-20,sample_000133,Paid Search,(not set),paid_search,paid,desktop,Canada,9,1,24,0.0,1,0
2018-04-03,sample_000134,Organic Search,(not set),organic_search,organic,mobile,Canada,8,1,50,0.0,1,0
2018-01-12,sample_000135,Social,content syndication,social,referral,mobile,United Kingdom,20,12,799,0.0,1,0
2018-04-29,sample_000136,Display,(not set),display,referral,desktop,Australia,3,2,55,0.0,0,0
2018-06-30,sample_000137,Referral,content syndication,referral,referral,mobile,India,7,1,33,0.0,1,0
2018-03-21,sample_000138,Organic Search,summer remarketing,organic_search,organic,desktop,Australia,8,2,25,0.0,1,0
2017-10-18,sample_000139,Organic Search,(not set),organic_search,organic,mobile,Canada,2,1,10,0.0,0,0
2018-02-07,sample_000140,Direct,content syndication,direct,referral,mobile,United Kingdom,3,2,31,0.0,0,0
2017-08-27,sample_000141,Referral,brand,referral,referral,tablet,Germany,3,2,41,0.0,0,0
2018-04-04,sample_000142,Organic Search,partner launch,organic_search,organic,desktop,United Kingdom,9,8,850,0.0,1,0
2018-03-08,sample_000143,Organic Search,summer remarketing,organic_search,organic,mobile,India,5,1,6,0.0,1,0
2018-01-06,sample_000144,Direct,content syndication,direct,referral,tablet,Australia,3,1,41,0.0,0,0
2018-06-21,sample_000145,Organic Search,brand,organic_search,organic,tablet,United Kingdom,15,9,534,0.0,1,0
2018-01-14,sample_000146,Organic Search,partner launch,organic_search,organic,mobile,India,1,1,14,0.0,0,0
2017-09-11,sample_000147,Organic Search,brand,organic_search,organic,desktop,United Kingdom,9,2,31,0.0,1,0
2017-09-28,sample_000148,Direct,summer remarketing,direct,referral,desktop,Australia,19,12,609,0.0,1,0
2018-02-19,sample_000149,Organic Search,summer remarketing,organic_search,organic,tablet,United Kingdom,8,6,852,0.0,1,0
2017-08-04,sample_000150,Organic Search,brand,organic_search,organic,desktop,Australia,7,1,39,0.0,1,0
2018-07-09,sample_000151,Paid Search,(not set),paid_search,paid,mobile,Canada,9,3,89,0.0,1,0
2018-05-22,sample_000152,Referral,(not set),referral,referral,desktop,Canada,6,2,12,0.0,1,0
2017-10-27,sample_000153,Display,brand,display,referral,mobile,United States,3,2,32,0.0,0,0
2018-02-22,sample_000154,Paid Search,brand,paid_search,paid,desktop,United Kingdom,7,2,19,0.0,1,0
2018-06-21,sample_000155,Organic Search,brand,organic_search,organic,desktop,Australia,7,2,51,0.0,1,0
2017-10-14,sample_000156,Organic Search,content syndication,organic_search,organic,desktop,Australia,6,4,861,0.0,1,0
2018-05-16,sample_000157,Paid Search,(not set),paid_search,paid,mobile,Canada,7,2,14,0.0,1,0
2018-06-20,sample_000158,Paid Search,summer remarketing,paid_search,paid,desktop,United States,6,1,37,0.0,1,0
2017-08-20,sample_000159,Paid Search,partner launch,paid_search,paid,desktop,Germany,2,1,44,0.0,0,0
2018-05-25,sample_000160,Organic Search,brand,organic_search,organic,desktop,Australia,8,1,41,0.0,1,0
2018-04-01,sample_000161,Organic Search,(not set),organic_search,organic,desktop,Australia,3,2,26,0.0,0,0
2017-10-28,sample_000162,Paid Search,brand,paid_search,paid,desktop,Germany,10,2,38,0.0,1,0
2017-12-23,sample_000163,Organic Search,(not set),organic_search,organic,desktop,United Kingdom,6,1,9,0.0,1,0
2018-02-14,sample_000164,Paid Search,brand,paid_search,paid,desktop,Germany,6,1,10,0.0,1,0
2018-01-06,sample_000165,Social,(not set),social,referral,tablet,Australia,4,2,43,0.0,0,0
2018-02-09,sample_000166,Organic Search,content syndication,organic_search,organic,mobile,Australia,9,1,10,0.0,1,0
2017-08-10,sample_000167,Paid Search,brand,paid_search,paid,desktop,India,13,10,301,0.0,1,0
2017-09-21,sample_000168,Organic Search,brand,organic_search,organic,desktop,Germany,6,1,54,0.0,1,0
2017-10-18,sample_000169,Paid Search,summer remarketing,paid_search,paid,desktop,Canada,8,1,7,0.0,1,0
2017-11-30,sample_000170,Direct,summer remarketing,direct,referral,tablet,India,5,2,39,0.0,1,0
2018-03-29,sample_000171,Display,content syndication,display,referral,mobile,United Kingdom,9,2,54,0.0,1,0
2018-03-03,sample_000172,Paid Search,content syndication,paid_search,paid,tablet,Australia,5,1,8,0.0,1,0
2018-05-11,sample_000173,Referral,summer remarketing,referral,referral,tablet,India,5,1,10,0.0,1,0
2018-04-20,sample_000174,Paid Search,content syndication,paid_search,paid,desktop,United States,8,1,27,0.0,1,0
2018-04-15,sample_000175,Organic Search,summer remarketing,organic_search,organic,desktop,United States,6,1,19,0.0,1,0
2018-06-29,sample_000176,Social,brand,social,referral,desktop,Australia,5,1,35,0.0,1,0
2018-03-29,sample_000177,Direct,partner launch,direct,referral,desktop,Australia,10,7,223,24.99,1,1
2017-09-26,sample_000178,Paid Search,partner launch,paid_search,paid,mobile,Canada,1,1,20,0.0,0,0
2017-09-26,sample_000179,Paid Search,brand,paid_search,paid,mobile,India,9,1,41,0.0,1,0
2017-08-01,sample_000180,Organic Search,(not set),organic_search,organic,mobile,Australia,4,2,47,0.0,0,0
2018-02-01,sample_000181,Paid Search,content syndication,paid_search,paid,desktop,United States,7,1,35,0.0,1,0
2017-12-08,sample_000182,Display,(not set),display,referral,mobile,Australia,6,1,20,0.0,1,0
2018-01-18,sample_000183,Direct,content syndication,direct,referral,desktop,Australia,4,2,54,0.0,0,0
2018-04-03,sample_000184,Display,brand,display,referral,mobile,United Kingdom,8,1,7,0.0,1,0
2017-11-11,sample_000185,Organic Search,content syndication,organic_search,organic,mobile,Germany,10,2,30,0.0,1,0
2018-06-28,sample_000186,Organic Search,summer remarketing,organic_search,organic,desktop,United States,6,1,22,0.0,1,0
2018-02-21,sample_000187,Paid Search,content syndication,paid_search,paid,mobile,Canada,7,2,16,0.0,1,0
2018-04-23,sample_000188,Organic Search,summer remarketing,organic_search,organic,desktop,United Kingdom,11,9,628,0.0,1,0
2018-01-15,sample_000189,Organic Search,summer remarketing,organic_search,organic,mobile,Canada,4,2,49,0.0,0,0
2018-01-28,sample_000190,Paid Search,content syndication,paid_search,paid,mobile,Australia,2,1,47,0.0,0,0
2018-07-14,sample_000191,Organic Search,brand,organic_search,organic,desktop,United States,10,10,199,0.0,1,0
2018-02-04,sample_000192,Direct,summer remarketing,direct,referral,desktop,Canada,3,1,48,0.0,0,0
2017-09-09,sample_000193,Organic Search,brand,organic_search,organic,mobile,United Kingdom,7,2,46,0.0,1,0
2017-08-14,sample_000194,Display,summer remarketing,display,referral,mobile,United Kingdom,10,2,12,0.0,1,0
2017-11-18,sample_000195,Direct,(not set),direct,referral,tablet,India,5,2,12,0.0,1,0
2018-03-16,sample_000196,Paid Search,partner launch,paid_search,paid,tablet,United States,7,2,50,0.0,1,0
2018-01-01,sample_000197,Paid Search,(not set),paid_search,paid,mobile,India,6,1,37,0.0,1,0
2017-10-11,sample_000198,Display,content syndication,display,referral,desktop,United Kingdom,10,2,41,0.0,1,0
2018-05-10,sample_000199,Referral,content syndication,referral,referral,desktop,Australia,5,1,30,0.0,1,0
2018-02-26,sample_000200,Paid Search,partner launch,paid_search,paid,mobile,Australia,11,4,547,0.0,1,0
2018-05-10,sample_000201,Organic Search,(not set),organic_search,organic,mobile,United States,7,1,37,0.0,1,0
2018-01-03,sample_000202,Paid Search,(not set),paid_search,paid,desktop,United Kingdom,6,1,38,0.0,1,0
2018-06-22,sample_000203,Organic Search,brand,organic_search,organic,tablet,Germany,10,2,10,0.0,1,0
2018-05-25,sample_000204,Paid Search,(not set),paid_search,paid,desktop,United States,2,2,6,0.0,0,0
2018-05-23,sample_000205,Social,partner launch,social,referral,desktop,Australia,2,2,36,0.0,0,0
2018-01-02,sample_000206,Organic Search,(not set),organic_search,organic,desktop,United States,6,2,34,0.0,1,0
2018-03-01,sample_000207,Organic Search,summer remarketing,organic_search,organic,desktop,United Kingdom,6,1,50,0.0,1,0
2017-10-06,sample_000208,Display,(not set),display,referral,mobile,Canada,6,1,20,0.0,1,0
2017-12-05,sample_000209,Organic Search,summer remarketing,organic_search,organic,desktop,India,18,12,324,0.0,1,0
2018-01-08,sample_000210,Social,(not set),social,referral,desktop,Canada,9,2,24,0.0,1,0
2018-02-18,sample_000211,Organic Search,summer remarketing,organic_search,organic,desktop,United States,6,1,8,0.0,1,0
2018-07-01,sample_000212,Paid Search,summer remarketing,paid_search,paid,mobile,India,2,1,32,0.0,0,0
2018-02-23,sample_000213,Direct,(not set),direct,referral,desktop,United Kingdom,6,1,40,0.0,1,0
2018-03-19,sample_000214,Organic Search,summer remarketing,organic_search,organic,mobile,Canada,3,1,11,0.0,0,0
2018-01-21,sample_000215,Referral,content syndication,referral,referral,desktop,Germany,4,1,43,0.0,0,0
2017-08-24,sample_000216,Paid Search,partner launch,paid_search,paid,desktop,India,10,2,34,0.0,1,0
2017-10-11,sample_000217,Social,summer remarketing,social,referral,desktop,Australia,7,1,44,0.0,1,0
2018-04-17,sample_000218,Paid Search,summer remarketing,paid_search,paid,mobile,United Kingdom,9,2,6,0.0,1,0
2018-03-02,sample_000219,Direct,partner launch,direct,referral,mobile,Australia,8,1,21,0.0,1,0
2017-08-27,sample_000220,Paid Search,brand,paid_search,paid,mobile,Australia,18,12,221,0.0,1,0
2018-07-25,sample_000221,Organic Search,content syndication,organic_search,organic,desktop,India,11,5,777,0.0,1,0
2018-06-10,sample_000222,Paid Search,partner launch,paid_search,paid,tablet,India,3,1,38,0.0,0,0
2018-07-06,sample_000223,Organic Search,partner launch,organic_search,organic,desktop,United Kingdom,8,1,39,0.0,1,0
2018-07-15,sample_000224,Organic Search,partner launch,organic_search,organic,mobile,United Kingdom,5,2,20,0.0,1,0
2017-12-31,sample_000225,Organic Search,partner launch,organic_search,organic,mobile,United Kingdom,7,2,35,0.0,1,0
2017-12-19,sample_000226,Social,summer remarketing,social,referral,desktop,India,8,2,27,0.0,1,0
2017-09-10,sample_000227,Organic Search,partner launch,organic_search,organic,desktop,India,9,2,18,0.0,1,0
2018-05-15,sample_000228,Organic Search,partner launch,organic_search,organic,mobile,United States,15,12,318,0.0,1,0
2017-11-28,sample_000229,Organic Search,(not set),organic_search,organic,desktop,India,3,2,48,0.0,0,0
2017-10-20,sample_000230,Display,summer remarketing,display,referral,desktop,India,9,2,46,0.0,1,0
2018-06-27,sample_000231,Organic Search,(not set),organic_search,organic,desktop,Australia,9,1,52,0.0,1,0
2017-10-29,sample_000232,Social,brand,social,referral,desktop,Canada,7,1,55,0.0,1,0
2017-12-27,sample_000233,Social,partner launch,social,referral,mobile,Canada,9,4,361,0.0,1,0
2017-10-08,sample_000234,Paid Search,content syndication,paid_search,paid,mobile,India,2,1,26,0.0,0,0
2017-11-04,sample_000235,Direct,content syndication,direct,referral,desktop,Germany,5,2,16,0.0,1,0
2018-04-21,sample_000236,Referral,summer remarketing,referral,referral,desktop,Canada,3,1,13,0.0,0,0
2017-08-04,sample_000237,Social,partner launch,social,referral,desktop,Germany,7,2,24,0.0,1,0
2018-07-01,sample_000238,Organic Search,content syndication,organic_search,organic,desktop,India,8,1,24,0.0,1,0
2018-07-27,sample_000239,Direct,brand,direct,referral,mobile,India,7,2,44,0.0,1,0
2018-04-02,sample_000240,Social,content syndication,social,referral,desktop,Germany,8,2,49,0.0,1,0
2018-07-07,sample_000241,Direct,summer remarketing,direct,referral,mobile,Germany,9,1,33,0.0,1,0
2018-05-16,sample_000242,Organic Search,summer remarketing,organic_search,organic,desktop,India,9,1,14,0.0,1,0
2018-03-15,sample_000243,Referral,content syndication,referral,referral,desktop,United States,12,4,526,0.0,1,0
2018-03-01,sample_000244,Organic Search,(not set),organic_search,organic,desktop,United Kingdom,7,7,475,0.0,1,0
2018-05-24,sample_000245,Direct,content syndication,direct,referral,desktop,United States,9,1,8,0.0,1,0
2018-02-26,sample_000246,Organic Search,content syndication,organic_search,organic,desktop,Canada,14,9,461,0.0,1,0
2018-07-16,sample_000247,Organic Search,partner launch,organic_search,organic,tablet,India,6,1,12,0.0,1,0
2017-10-05,sample_000248,Organic Search,partner launch,organic_search,organic,mobile,Canada,1,1,24,0.0,0,0
2018-02-11,sample_000249,Paid Search,(not set),paid_search,paid,mobile,India,4,2,22,0.0,0,0
2018-07-05,sample_000250,Organic Search,(not set),organic_search,organic,desktop,United States,4,1,18,0.0,0,0
2018-03-17,sample_000251,Paid Search,content syndication,paid_search,paid,mobile,United States,4,1,52,0.0,0,0
2018-05-04,sample_000252,Paid Search,brand,paid_search,paid,desktop,United Kingdom,3,1,37,0.0,0,0
2018-05-22,sample_000253,Referral,partner launch,referral,referral,desktop,India,5,2,24,0.0,1,0
2018-01-01,sample_000254,Organic Search,(not set),organic_search,organic,desktop,Canada,7,1,40,0.0,1,0
2018-06-26,sample_000255,Display,summer remarketing,display,referral,mobile,India,8,2,31,0.0,1,0
2018-05-03,sample_000256,Organic Search,partner launch,organic_search,organic,desktop,United States,4,2,34,0.0,0,0
2018-03-02,sample_000257,Organic Search,content syndication,organic_search,organic,desktop,United States,11,6,732,0.0,1,0
2017-09-17,sample_000258,Referral,partner launch,referral,referral,desktop,Australia,5,1,29,0.0,1,0
2017-09-07,sample_000259,Paid Search,summer remarketing,paid_search,paid,desktop,United Kingdom,8,1,18,0.0,1,0
2017-08-08,sample_000260,Social,partner launch,social,referral,desktop,Australia,8,1,20,0.0,1,0
2018-02-20,sample_000261,Direct,summer remarketing,direct,referral,mobile,Germany,8,2,34,0.0,1,0
2018-02-01,sample_000262,Organic Search,brand,organic_search,organic,desktop,United Kingdom,8,1,53,0.0,1,0
2018-02-28,sample_000263,Organic Search,partner launch,organic_search,organic,desktop,Germany,1,1,21,0.0,0,0
2018-03-02,sample_000264,Paid Search,summer remarketing,paid_search,paid,desktop,Germany,15,12,581,0.0,1,0
2018-04-08,sample_000265,Organic Search,summer remarketing,organic_search,organic,tablet,Australia,9,2,15,0.0,1,0
